row_index,caption,motion_id,humanml_duration_sec,humanml_root_speed_mean,humanml_root_path_length,humanml_mean_joint_velocity,humanml_mean_joint_acceleration,humanml_mean_joint_jerk,humanml_root_vertical_range,humanml_all_joint_vertical_range,selected_teacher_alignment_distance,selected_teacher_alignment_score,selected_teacher_duration_sec_log_ratio_distance,selected_teacher_root_speed_mean_log_ratio_distance,selected_teacher_root_path_length_log_ratio_distance,selected_teacher_mean_joint_velocity_log_ratio_distance,selected_teacher_mean_joint_acceleration_log_ratio_distance,selected_teacher_mean_joint_jerk_log_ratio_distance,selected_teacher_root_vertical_range_log_ratio_distance,selected_teacher_all_joint_vertical_range_log_ratio_distance
0,"this person is walking forward at an easy but steady pace, starting with the right foot and completing 8 steps, ending with the right foot forward.",M004045,4.15,0.006380725290381436,0.026480009955082963,12.586643530955994,284.6655820152291,9884.243527503491,0.09747231006622314,1.6317092180252075,2.612127700161291,0.07337825063385307,0.22551024189629337,4.265876958793848,4.489900569651795,3.226130887173776,4.46633599859134,3.3683471783547394,0.8273253629143286,0.027594403914208535
1,"a person walks forward at a slow pace and stops, holding position.",M009223,8.05,0.02737560541394588,0.22037362358226434,7.421677680889909,180.2826956038737,6201.764618208283,0.8629546165466309,2.3720712661743164,1.846993607372062,0.1577105942698437,0.03158835454829372,1.9252809737260304,1.892651015178183,3.2703108753685797,4.08193551121889,2.9750481480079363,0.19622427626005334,0.4029097046685286
2,a person lifts something heavy with their right arm.,M003512,2.25,0.003346196601954316,0.0075289423543972115,10.14298778332252,243.53608231110013,8104.131176499783,0.011108458042144775,1.606907606124878,2.9451166638717536,0.052595923414268615,0.9807889744406789,5.09954074246215,6.079104612396889,2.5697123198857885,3.4758718085749662,2.28852341812268,3.052996473744661,0.014394961346221298
3,"a person walks downstairs, before making a little jump at the bottom.",008638,5.800000000000001,0.013165382776733124,0.07635922010505213,9.67245095075911,218.44574975472798,7071.6154197168225,0.935943603515625,2.386488387339341,1.9474611025594037,0.1426357498003921,0.03513131444651402,2.242493544284091,2.2059292550560587,3.557776318516283,4.093650091338205,2.801750733590054,0.23281370025998357,0.410143862984041
4,a person is moving around dancing with their arms.,008811,9.950000000000001,0.025815166317055223,0.2568609048546995,31.334210663026013,663.1288639582991,19533.75661273797,0.1373463273048401,1.5699554681777954,2.0354233211372716,0.13062517440092275,0.015230164751611102,2.8195104338108123,2.803462334584506,3.6237790948068835,4.052533234243093,2.8414541484013833,0.11863946047655224,0.00877769802333442
5,a person is performing a dance,003726,7.45,0.00794362317902824,0.059179992683760396,8.712619675525255,141.50778200101968,4002.4254887067323,0.08633077144622803,1.595691204071045,1.987784575275832,0.13699859957646834,0.0341730025032238,3.188452775828885,3.1532262040547168,3.3970638836791984,3.715957745058507,2.2834189342371123,0.12112918759609483,0.008854869248920216
6,a person walking forward in a steady pace,007210,5.15,0.027245415122740438,0.14031388788211327,7.254322473129503,181.10415234354542,6304.428402609966,0.060078561305999756,1.5583946704864502,1.8927708014145301,0.15065379823436917,0.029598797208323847,3.0079583463696147,2.9767196124993833,2.4692512375064695,3.770782339061838,2.7105126260010857,0.1582962590080389,0.019047193661487834
7,a person swings their arms and body around as if they are dancing.,M004662,5.9,0.013824772919544414,0.08156616022531205,18.653298690121854,354.5817826894824,10659.19972067126,0.18090468645095825,1.9829899072647095,2.0404191670640994,0.12997421854693153,0.052225744883546796,2.9986958072938306,2.945037960292474,3.4055044728646693,3.9593720721431827,2.7307706621243306,0.17557666511380343,0.05616995179695987
8,a man is holding both arms out and then pulling them back in right to left as if he is transferring something heavy.,M004712,5.2,0.003236097940869078,0.016827709292519206,2.0254566556191054,14.253860971405297,273.29685571707375,0.007322430610656738,1.5817917585372925,1.5011464643847625,0.22287449594960584,0.039260706252996075,2.8888187283468496,2.8481257543862073,2.895768620016322,2.1869290030829878,0.47166271727140674,0.6780918821980881,0.0005143035232436183
9,a person does broad jumps back and forth with a quick stretch in between jumps.,005301,9.950000000000001,0.031624577491133184,0.3146645460367752,17.78617497067795,346.0802128918565,10588.895049696534,0.7951329350471497,1.9156550168991089,1.9525817252856248,0.14190723276070377,0.015230164751611102,2.589040212183983,2.5729856545937198,3.263242075938204,3.9810101650602694,2.8275707851526937,0.34392983707041247,0.027644907534103553
