epoch,step,loss,caption
0,1,0.02518339827656746,a person is dancing quickly and having fun.
0,2,0.011312881484627724,a person is moving around dancing with their arms.
0,3,0.5130969285964966,someone seems to be dancing
0,4,0.02085559442639351,a person walks with a limp
0,5,1.7488808631896973,a person running and then crawling before returning to a run.
0,6,0.03968288004398346,a person is jogging / walking fast but not running in circles
0,7,0.0904768630862236,a man stands casually with his arms to his sides than takes 4 slow steps backwards starting with his left and then stops.
0,8,0.09383523464202881,a person readies their jump rope and then begins skipping rope.
0,9,0.012916930951178074,a person bends forward with left/left hands quickly to touch left/left toes directly in front of hands. a person twists torso left/left with waist fast facing left/left. a person lifts left/left hands fast above left/left shoulder at the same time. a person bends torso left/left hand sides fast facing forward
0,10,0.8030872941017151,"imitates a ballet dance. right hand steps behind left, hands cur under than both lifts poisely."
0,11,0.17531642317771912,a person bends over and does a standing jump forward.
0,12,0.034840166568756104,a man is dancing around in a circle.
0,13,0.08796636760234833,a person walking forward in a steady pace
0,14,0.07523415982723236,"a person walks in a slow clockwise circle, stopping in a standing position."
0,15,0.006867344956845045,the man raises his hands and waves then fast in the air.
0,16,0.07544056326150894,"a person walks downstairs, before making a little jump at the bottom."
0,17,3.0679097175598145,a person dancing with left arm in the air and bouncing back and forth
0,18,0.030903417617082596,a person walks forward and then starts dancing.
0,19,0.026247987523674965,a person is salsa dancing.
0,20,0.015547308139503002,a person struggles to hold a heavy object before dropping it.
0,21,2.7855169773101807,a person sets something down on the ground and then walks with big hip sway in a diaganol direction.
0,22,0.06691374629735947,"a man bends his legs slightly then takes a medium-length jump forward, raising his forearms slightly then letting them hang loose on landing."
0,23,0.3493083715438843,a person is sprinting fast
0,24,0.02137697860598564,"a person walks forward at a slow pace and stops, holding position."
0,25,2.532928228378296,a person taking a huge jump forward
0,26,2.5904083251953125,the man is jumping jump
0,27,0.013257578946650028,he uplift his right hand and moving it fast again and again.
0,28,0.040709465742111206,obstacle courses sometimes require an athlete to run in a backwards motion.
0,29,0.04503810778260231,walking forward then the body twirls around fast and keeps walking.
0,30,1.5754432678222656,"a man is standing up, then bends down to take a big jump forward, leaps forward, and then stands back up straight."
0,31,0.0741448700428009,a person takes three quick steps backward.
0,32,0.012133429758250713,person facing forward does 5 small slow steps to the left then 5 slow steps to the  right
0,33,0.020069783553481102,a man dancing to salsa music
0,34,0.09508413076400757,a person takes a couple quick steps forward.
0,35,0.0078008477576076984,"a man shakes his wrists, jumps backwards with a spin, and then finishes by spreading his arms."
0,36,0.016843682155013084,a person is walking forward and dancing at the same time. they are throwing their limbs out in sudden movements and shaking their legs.
0,37,0.03383379429578781,the person is doing awkward arm movements to the head and then down in front.
0,38,0.013360670767724514,"person is dancing by bending right arm and right leg lifting and bending at the same time a few times, they repeat this on the left, they jump to the side and kick the left leg back, and then jump to the left"
0,39,0.05655653774738312,the person is  slow punching the air.
0,40,0.031505219638347626,"a figure gestures as though it is digging with a shovel. the figure stops dancing around 7 second mark, and seems to place a plant or tree into the hole it has dug."
0,41,0.019524529576301575,a person throws their body forward and then to the side in an expressive way
0,42,0.008500664494931698,person walks fast on the spot
0,43,1.1714465618133545,"this person is walking forward at an easy but steady pace, starting with the right foot and completing 8 steps, ending with the right foot forward."
0,44,2.8642418384552,a person sets something down on the ground and then walks with big hip sway in a diaganol direction.
